county,year,weekwage,pctblk1990,pct65p1990,pctunivp1990,pctHSp1990,medhhinc1990,pctbelowPL1990,lnemp,lnest,lnweekwage,group,adv_int,frprof,frac_in_eng_prog,carnegie1_enr,indivhomeinternet00_cty,npatent1980s,netmig,highinc,highind,highpop,surv_deeppost95,higheduc,missing,surv_deeppost_91,surv_deeppost_92,surv_deeppost_93,surv_deeppost_94,surv_deeppost_95,surv_deeppost_96,surv_deeppost_97,surv_deeppost_98,surv_deeppost_99,surv_deeppost_00,surv_deeppost_01,educ_inc_ind_pop_dum_surv_deep91,educ_inc_ind_pop_dum_surv_deep92,educ_inc_ind_pop_dum_surv_deep93,educ_inc_ind_pop_dum_surv_deep94,educ_inc_ind_pop_dum_surv_deep95,educ_inc_ind_pop_dum_surv_deep96,educ_inc_ind_pop_dum_surv_deep97,educ_inc_ind_pop_dum_surv_deep98,educ_inc_ind_pop_dum_surv_deep99,educ_inc_ind_pop_dum_surv_deep01,allhigh,wagegrowth,iv_num_arpanet_nodes,iv_num_bitnet,iv_first_price_cap,iv_cost_per_loop_monthly,iv_bartik,iv_competitiondeep,netmig95,educ_inc_ind_pop_dum_surv_deep00,lnpop,iv_prog_in_oth,change_totalpop,change_pctblk,change_pctunivp,change_pctHSp,change_pct65,change_netmig,state,avgdmest,basic_int,msadum,msa,pop_surv_deeppost00,inc_surv_deeppost00,inc_dum_surv_deeppost00,ind_surv_deeppost00,ind_dum_surv_deeppost00,inc_ind_dum_surv_deeppost00,inc_pop_dum_surv_deeppost00,ind_pop_dum_surv_deeppost00,educ_surv_deeppost00,educ_dum_surv_deeppost00,educ_ind_dum_surv_deeppost00,educ_pop_dum_surv_deeppost00,educ_inc_ind_pop_surv_deep00,highinc2000,higheduc2000,highind2000,educ_inc_dum_surv_deeppost00,pc_per_emp,msa_allhigh,pctunempwt,pctunemphighskillwt,surv_deeppost00_all,highpop2000,allhigh2000,pop_dum_surv_deeppost00,wagediff,empdiff,estdiff,surv_deepwidewt_county,surv_deepalt1wt_county,surv_deepalt2wt_county,surv_deepalt3wt_county,deep_county,surv_deep_county,deeppost00,surv_deep_newweight
1001,2000,477,.20001753,.098533109,.14552975,.70259219,28337,.1565468,9.0874949,6.6293631,6.1675167,1,0,.35978565,0,0,0,6,139,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16625917,0,0,95,30.198191,.10744967,.37385604,712,0,10.440624,163.07243,.24381556,-.028713912,-.027623229,-.18759304,.0031819865,-479,AL,.83333331,.5643748,1,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.31229711,0,.0580498070852333,.0204630419098839,0,0,0,0,.15380144,.16243935,.16789484,.15625623,.15625623,.15625623,.15625623,0,0,0,0
1003,2000,422,.12861213,.15139398,.16883339,.73488343,25712,.1434478,10.621303,8.275631,6.0450053,2,.087168418,.40749627,0,0,0,100,884,0,0,0,.087168418,1,1,0,0,0,0,0,0,0,0,0,.087168418,0,0,0,0,0,0,0,0,0,0,0,0,.26726726,0,0,95,30.198191,.10973164,.14331725,3722,0,11.495576,32.483067,.35678178,-.027248316,-.017186895,-.1956228,.0029627532,-2193,AL,.54838711,.74072486,1,5160,8566.9121,2241.2744,0,.018487899,0,0,0,0,.014716939,.087168418,0,0,7887636.5,0,1,0,0,.18442196,0,.074731697557769,.0193591800817848,.087168418,0,0,0,.23686266,.25540257,.23389626,.14634277,.14634277,.14634277,.14634277,.096774191,.1065908,.048261918,.086585455
1005,2000,439,.44041389,.14659479,.11916833,.56067508,19389,.25192657,9.1992798,6.4134588,6.0844994,3,0,.30010793,0,0,0,9,-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16137566,0,0,95,30.198191,.12417979,0,-195,0,10.143173,18.995968,.13318707,.024046481,-.045951828,-.12813836,-.011771455,-21,AL,.5,.60919881,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.10849282,1,,,0,0,0,0,.14960527,.21245766,.08373785,0,0,0,0,0,0,0,0
1007,2000,385,.20982143,.12674952,.047600001,.52149999,19775,.21184985,7.8958082,5.7071104,5.9532433,4,.13964736,.26107696,0,0,0,2,40,0,0,0,.13964736,0,1,0,0,0,0,0,0,0,0,0,.13964736,0,0,0,0,0,0,0,0,0,0,0,0,.09375,0,0,95,30.198191,.12090605,.46859711,257,0,9.7157116,15.939815,.22824635,.012592852,.00016801059,-.096652687,-.010836713,40,AL,.60000002,.61406308,0,,2314.7947,2761.5266,0,.014926845,0,0,0,0,.0066472148,0,0,0,232900.94,0,0,0,0,.18635309,1,,,.13964736,0,0,0,.089612007,-.21971226,.058135986,.13964736,.13964736,.13964736,.13964736,.2,.2,.13163604,.26277918
1009,2000,422,.013274562,.13035059,.070165023,.60473305,22382,.15255369,8.9054441,6.616065,6.0450053,5,0,.30280605,0,0,0,16,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.25595239,0,0,95,30.198191,.094814137,0,1033,0,10.577656,49.523518,.26239562,-.0022405386,-.006631501,-.13845393,-.0037043095,-771,AL,.80000001,.57035124,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1758301,0,.0534024815520666,.0158715511672972,0,0,0,0,.22789431,.012283325,.16875935,0,0,0,0,0,0,0,0
1011,2000,393,.72323853,.16056874,.10173062,.49646351,14745,.36518374,7.9280457,5.0039463,5.9738097,6,0,.20052311,0,0,0,0,-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.18018018,0,0,95,30.198191,.10583576,0,4,0,9.3094616,.74764609,.059078522,-.002391696,-.049155708,-.085733205,-.031407058,-235,AL,1,.34458324,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.022053329,1,,,0,0,0,0,.16566706,.11364603,-.026491642,0,0,0,0,0,0,0,0
1013,2000,399,.40188196,.16809793,.080658376,.5299769,16054,.31480968,8.6141386,6.2225761,5.9889612,7,0,.30114913,0,0,0,1,-83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.17352942,0,0,95,30.198191,.094341815,.2,-18,0,9.9938765,12.479663,-.022777081,.010006458,-.013523214,-.092965901,-.0037911832,-64,AL,.60000002,.45593688,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2873947,1,,,0,0,0,0,.16001558,-.11961651,.05715847,0,0,0,0,0,0,0,0
1015,2000,452,.18596274,.12390334,.1424073,.67710745,23802,.15664844,10.502077,7.8079166,6.1136823,8,.056268319,.33301988,.00084555399,0,.46218488,27,-942,0,0,0,.056268319,0,0,0,0,0,0,0,0,0,0,0,.056268319,0,0,0,0,0,0,0,0,0,0,0,0,.21832883,0,1,95,30.198191,.11816147,.14536193,254,0,11.661638,49.572151,-.033163633,-.0037072152,-.043170184,-.19526348,.017077871,-337,AL,.54545456,.85066861,1,450,6529.0381,1339.2986,0,.012562764,0,0,0,0,.0080130193,0,0,0,4941014.5,0,0,0,0,.20531762,0,.0912642964343011,.0410614525139665,.056268319,0,0,0,.1974802,.053478241,.057301998,.075350672,.096919052,.096919052,.096919052,.054545455,.058966115,.049211841,.075020052
1017,2000,482,.35852587,.16864628,.089218229,.54558581,21256,.18803535,9.2794933,6.3952618,6.1779442,9,.11440724,.25179994,0,0,0,8,-24,0,0,0,.11440724,0,1,0,0,0,0,0,0,0,0,0,.11440724,0,0,0,0,0,0,0,0,0,0,0,0,.19012345,0,0,95,30.198191,.1114547,0,10,0,10.515316,7.3869848,-.0079772817,.024684906,-.027475495,-.13065034,-.0076698661,-34,AL,.42857143,.66665703,0,,4218.8813,2431.8403,0,.011098818,0,0,0,0,.010207212,0,0,0,776167.88,0,0,0,0,.084501117,1,,,.11440724,0,0,0,.17405701,-.066688538,.027074814,.11440724,.11440724,.11440724,.11440724,.14285715,.15712132,.094025739,.17620464
1019,2000,399,.066059455,.14787903,.066903584,.53491968,21368,.17591451,8.1914635,5.9135032,5.9889612,10,.33278823,.25982317,0,0,0,1,63,0,0,0,.33278823,0,1,0,0,0,0,0,0,0,0,0,.33278823,0,0,0,0,0,0,0,0,0,0,0,0,.17699115,0,0,95,30.198191,.096201316,0,444,0,9.880372,28.190207,.20493653,-.012449317,-.002799511,-.1161665,.011992574,-381,AL,.75,1,0,,6503.6802,7111.019,0,.064243294,0,0,0,0,.022264725,0,0,0,1794867.1,0,0,0,0,.074447311,1,,,.33278823,0,0,0,.16296101,-.014846802,.13275957,.33278823,.60048878,.60048878,.60048878,.25,.31078407,.39243767,.36048025
1021,2000,405,.11319243,.13879475,.075020567,.5690915,21627,.1711145,8.8211422,6.6214056,6.0038872,11,.19945261,.29890463,0,0,0,5,137,0,0,0,.19945261,0,1,0,0,0,0,0,0,0,0,0,.19945261,0,0,0,0,0,0,0,0,0,0,0,0,.19117647,0,0,95,30.198191,.10117365,0,541,0,10.387702,108.47644,.19870539,-.0053450838,-.0095576942,-.13305387,-.010463983,-222,AL,.40000001,.64596099,0,,6473.833,4313.5615,0,.031364344,0,0,0,0,.014963048,0,0,0,1651712.9,0,0,0,0,.10258017,1,,,.19945261,0,0,0,.17494154,.081605911,.096375942,.19945261,.19945261,.19945261,.19945261,.2,.21996984,.13163604,.25544924
1023,2000,736,.44181547,.13853166,.085419431,.54398692,17115,.3019022,8.3223944,5.7745514,6.6012301,12,0,.2627537,0,0,0,10,-67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.27335641,0,0,95,30.198191,.10207465,0,-76,0,9.681468,0,-.0060112891,-.005877763,-.02327219,-.12282127,.0055457205,-67,AL,0,.32945254,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03175592,1,,,0,0,0,0,.2416563,-.22144032,.018809319,0,0,0,0,0,0,0,0
1025,2000,459,.4267621,.13131425,.10790703,.60341859,19067,.25877455,8.9965277,6.5820251,6.1290503,13,.071132489,.2963357,0,0,0,19,-79,0,0,0,.071132489,0,1,0,0,0,0,0,0,0,0,0,.071132489,0,0,0,0,0,0,0,0,0,0,0,0,.21750663,0,0,95,30.198191,.11020875,.10998492,-225,0,10.212441,16.712862,.022756713,.0033882558,-.029731736,-.14479259,.0029664487,330,AL,.40000001,.53201228,0,,1937.649,1356.2832,0,.0097837159,0,0,0,0,.0076756957,0,0,0,548331.31,0,0,0,0,.082685702,1,,,.071132489,0,0,0,.196805,.01673317,.067312241,.14936751,.14936751,.14936751,.14936751,.1,.1,.065818019,.12290938
1027,2000,397,.16344702,.16842741,.072853826,.54060322,19252,.17443378,8.3301401,5.4553213,5.9839363,14,0,.24721754,0,0,0,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.21406728,0,0,95,30.198191,.11846722,0,28,0,9.4919033,0,.072889082,.0027519464,-.021799963,-.1093553,-.0015970469,31,AL,.16666667,.76564014,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11438399,1,,,0,0,0,0,.19397593,-.10735989,0,.15875125,.15875125,.15875125,.15875125,0,0,0,0
