"","county","year","weekwage","pctblk1990.x","pct65p1990.x","pctunivp1990.x","pctHSp1990.x","medhhinc1990.x","pctbelowPL1990.x","lnemp","lnest","lnweekwage","group.x","surv_deeppost00.x","frprof.x","frac_in_eng_prog.x","carnegie1_enr.x","indivhomeinternet00_cty.x","npatent1980s.x","netmig","highinc.x","highind.x","highpop.x","surv_deeppost95","higheduc.x","missing.x","surv_deeppost_91","surv_deeppost_92","surv_deeppost_93","surv_deeppost_94","surv_deeppost_95","surv_deeppost_96","surv_deeppost_97","surv_deeppost_98","surv_deeppost_99","adv_int","surv_deeppost_01","educ_inc_ind_pop_dum_surv_deep91","educ_inc_ind_pop_dum_surv_deep92","educ_inc_ind_pop_dum_surv_deep93","educ_inc_ind_pop_dum_surv_deep94","educ_inc_ind_pop_dum_surv_deep95","educ_inc_ind_pop_dum_surv_deep96","educ_inc_ind_pop_dum_surv_deep97","educ_inc_ind_pop_dum_surv_deep98","educ_inc_ind_pop_dum_surv_deep99","educ_inc_ind_pop_dum_surv_deep01","allhigh.x","wagegrowth","iv_num_arpanet_nodes.x","iv_num_bitnet.x","iv_first_price_cap.x","iv_cost_per_loop_monthly.x","iv_bartik.x","iv_competitiondeep.x","netmig95.x","educ_inc_ind_pop_dum_surv_deep00.x","lnpop.x","iv_othcprogrammerswt.x","change_totalpop.x","change_pctblk.x","change_pctunivp.x","change_pctHSp.x","change_pct65.x","change_netmig.x","pctblk1990.y","pct65p1990.y","pctunivp1990.y","pctHSp1990.y","medhhinc1990.y","pctbelowPL1990.y","group.y","state","avgdmest","basic_int","surv_deeppost00.y","msadum","frprof.y","frac_in_eng_prog.y","carnegie1_enr.y","indivhomeinternet00_cty.y","npatent1980s.y","msa","highinc.y","highind.y","highpop.y","pop_surv_deeppost00","inc_surv_deeppost00","inc_dum_surv_deeppost00","ind_surv_deeppost00","ind_dum_surv_deeppost00","inc_ind_dum_surv_deeppost00","inc_pop_dum_surv_deeppost00","ind_pop_dum_surv_deeppost00","higheduc.y","educ_surv_deeppost00","educ_dum_surv_deeppost00","educ_ind_dum_surv_deeppost00","educ_pop_dum_surv_deeppost00","educ_inc_ind_pop_surv_deep00","highinc2000","higheduc2000","highind2000","educ_inc_dum_surv_deeppost00","missing.y","surv_pcperemp00","allhigh.y","msa_allhigh","iv_num_arpanet_nodes.y","iv_num_bitnet.y","iv_first_price_cap.y","iv_cost_per_loop_monthly.y","iv_othcprogrammerswt.y","pctunempwt","pctunemphighskillwt","iv_bartik.y","iv_competitiondeep.y","netmig95.y","surv_deeppost00_all","highpop2000","allhigh2000","pop_dum_surv_deeppost00","educ_inc_ind_pop_dum_surv_deep00.y","wagediff","empdiff","estdiff","change_totalpop.y","change_pctblk.y","change_pctunivp.y","change_pctHSp.y","change_pct65.y","change_netmig.y","lnpop.y","surv_deepwidewt_county","surv_deepalt1wt_county","surv_deepalt2wt_county","surv_deepalt3wt_county","deep_county","surv_deep_county","deeppost00","surv_deep_newweight"
"1",10001,2000,479,0.18587659,0.10335787,0.15017751,0.73270708,29497,0.1131589,10.522449,7.8713112,6.1717005,315,0.17447326,0.36939287,0.00030568492,0,0.38095239,100,191,1,0,0,0.17447326,0,0,0,0,0,0,0,0,0,0,0,0.17447326,0,0,0,0,0,0,0,0,0,0,0,0,0.16829269,0,0,94,19.674553,0.11244177,0,919,0,11.617223,93.506241,0.13233127,0.016385496,-0.028391413,-0.21372467,0.012461767,191,0.18587659,0.10335787,0.15017751,0.73270708,29.497,0.1131589,315,"DE",0.55172414,0.5180667,0.17447326,1,0.36939287,0.00030568492,0,0.38095239,0.1,2190,1,0,0,19365.311,5146.4375,0.17447326,0.044986341,0,0,0.17447326,0,0,0.02620196,0,0,0,22118670,1,0,0,0,0,0.23956966,0,0,0,0,94,19.674553,93.629822,NA,NA,0.11244177,0,0.91900003,0.17447326,0,0,0,0,0.15554333,0.058117867,0.098137379,0.13233127,0.016385496,-0.028391413,-0.21372467,0.012461767,-0.72799999,11.617223,0.20217627,0.19898316,0.19898316,0.19898316,0.24137931,0.26997441,0.1814059,0.55096346
"2",10003,2000,787,0.16480294,0.11388722,0.25346822,0.8103193,38617,0.075394288,12.454022,9.7086887,6.6682281,316,0.13000908,0.45640942,0.0031975165,0.043861721,0.4851658,3188,733,1,1,1,0.13000908,1,0,0,0,0,0,0,0,0,0,0,0.13000908,0,0,0,0,0,0,0,0,0,0,0,1,0.28384992,0,1,94,19.674553,0.12435892,0.13819532,1873,0.13000908,12.998943,132.52647,0.12395026,0.034647346,-0.060241073,-0.25032294,0.0019793734,307,0.16480294,0.11388722,0.25346822,0.8103193,38.617001,0.075394288,316,"DE",0.5586592,0.81045038,0.13000908,1,0.45640942,0.0031975165,0.043861721,0.4851658,3.188,6162,1,1,1,57456.996,5020.561,0.13000908,0.048753992,0.13000908,0.13000908,0.13000908,0.13000908,1,0.032953169,0.13000908,0.13000908,0.13000908,210902352,1,1,1,0.13000908,0,0.45752862,1,1,0,1,94,19.674553,134.27713,NA,NA,0.12435892,0.13819532,1.873,0.13000908,1,1,0.13000908,0.13000908,0.24986315,0.13723183,0.25438309,0.12395026,0.034647346,-0.060241073,-0.25032294,0.0019793734,-1.14,12.998943,0.22920778,0.22366941,0.23566771,0.23510006,0.12290503,0.13976966,0.10388929,0.15705718
"3",10005,2000,467,0.16775738,0.16719215,0.13040015,0.70056939,26904,0.1073183,10.946164,8.3170338,6.1463294,317,0.1568038,0.37342665,0,0,0.34461537,126,825,0,0,0,0.1568038,0,0,0,0,0,0,0,0,0,0,0,0.1568038,0,0,0,0,0,0,0,0,0,0,0,0,0.2486631,0,0,94,19.674553,0.10498304,0.080202341,2770,0,11.637168,13.351078,0.32452509,-0.018247038,-0.021169595,-0.19751674,0.018152401,-2425,0.16775738,0.16719215,0.13040015,0.70056939,26.903999,0.1073183,317,"DE",0.29032257,0.71794045,0.1568038,0,0.37342665,0,0,0.34461537,0.126,NA,0,0,0,17754.738,4218.6494,0,0.025085879,0,0,0,0,0,0.020447239,0,0,0,9965106,0,0,0,0,0,0.15677214,0,1,0,0,94,19.674553,13.340723,NA,NA,0.10498304,0.080202341,2.77,0.1568038,0,0,0,0,0.22207355,0.18039894,0.14854717,0.32452509,-0.018247038,-0.021169595,-0.19751674,0.018152401,-1.9450001,11.637168,0.1568038,0.1568038,0.1568038,0.1568038,0.16129032,0.18804058,0.14739138,0.23344301
"4",1001,2000,477,0.20001753,0.098533109,0.14552975,0.70259219,28337,0.1565468,9.0874949,6.6293631,6.1675167,1,0,0.35978565,0,0,0,6,139,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16625917,0,0,95,30.198191,0.10744967,0.37385604,712,0,10.440624,163.07243,0.24381556,-0.028713912,-0.027623229,-0.18759304,0.0031819865,-479,0.20001753,0.098533109,0.14552975,0.70259219,28.337,0.1565468,1,"AL",0.83333331,0.5643748,0,1,0.35978565,0,0,0,0.0060000001,5240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.31229711,0,0,0,0,95,30.198191,163.07243,0.0580498070852333,0.0204630419098839,0.10744967,0.37385604,0.71200001,0,0,0,0,0,0.15380144,0.16243935,0.16789484,0.24381556,-0.028713912,-0.027623229,-0.18759304,0.0031819865,-0.57300001,10.440624,0.15625623,0.15625623,0.15625623,0.15625623,0,0,0,0
"5",1003,2000,422,0.12861213,0.15139398,0.16883339,0.73488343,25712,0.1434478,10.621303,8.275631,6.0450053,2,0.087168418,0.40749627,0,0,0,100,884,0,0,0,0.087168418,1,1,0,0,0,0,0,0,0,0,0,0.087168418,0,0,0,0,0,0,0,0,0,0,0,0,0.26726726,0,0,95,30.198191,0.10973164,0.14331725,3722,0,11.495576,32.483067,0.35678178,-0.027248316,-0.017186895,-0.1956228,0.0029627532,-2193,0.12861213,0.15139398,0.16883339,0.73488343,25.712,0.1434478,2,"AL",0.54838711,0.74072486,0.087168418,1,0.40749627,0,0,0,0.1,5160,0,0,0,8566.9121,2241.2744,0,0.018487899,0,0,0,0,1,0.014716939,0.087168418,0,0,7887636.5,0,1,0,0,1,0.18442196,0,0,0,0,95,30.198191,32.765797,0.074731697557769,0.0193591800817848,0.10973164,0.14331725,3.7219999,0.087168418,0,0,0,0,0.23686266,0.25540257,0.23389626,0.35678178,-0.027248316,-0.017186895,-0.1956228,0.0029627532,-2.8380001,11.495576,0.14634277,0.14634277,0.14634277,0.14634277,0.096774191,0.1065908,0.048261918,0.086585455
"6",1005,2000,439,0.44041389,0.14659479,0.11916833,0.56067508,19389,0.25192657,9.1992798,6.4134588,6.0844994,3,0,0.30010793,0,0,0,9,-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16137566,0,0,95,30.198191,0.12417979,0,-195,0,10.143173,18.995968,0.13318707,0.024046481,-0.045951828,-0.12813836,-0.011771455,-21,0.44041389,0.14659479,0.11916833,0.56067508,19.389,0.25192657,3,"AL",0.5,0.60919881,0,0,0.30010793,0,0,0,0.0089999996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10849282,0,1,0,0,95,30.198191,18.995968,NA,NA,0.12417979,0,-0.19499999,0,0,0,0,0,0.14960527,0.21245766,0.08373785,0.13318707,0.024046481,-0.045951828,-0.12813836,-0.011771455,0.17399999,10.143173,0,0,0,0,0,0,0,0
"7",1007,2000,385,0.20982143,0.12674952,0.047600001,0.52149999,19775,0.21184985,7.8958082,5.7071104,5.9532433,4,0.13964736,0.26107696,0,0,0,2,40,0,0,0,0.13964736,0,1,0,0,0,0,0,0,0,0,0,0.13964736,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,95,30.198191,0.12090605,0.46859711,257,0,9.7157116,15.939815,0.22824635,0.012592852,0.00016801059,-0.096652687,-0.010836713,40,0.20982143,0.12674952,0.047600001,0.52149999,19.775,0.21184985,4,"AL",0.60000002,0.61406308,0.13964736,0,0.26107696,0,0,0,0.0020000001,NA,0,0,0,2314.7947,2761.5266,0,0.014926845,0,0,0,0,0,0.0066472148,0,0,0,232900.94,0,0,0,0,1,0.18635309,0,1,0,0,95,30.198191,15.939815,NA,NA,0.12090605,0.46859711,0.257,0.13964736,0,0,0,0,0.089612007,-0.21971226,0.058135986,0.22824635,0.012592852,0.00016801059,-0.096652687,-0.010836713,-0.21699999,9.7157116,0.13964736,0.13964736,0.13964736,0.13964736,0.2,0.2,0.13163604,0.26277918
"8",1009,2000,422,0.013274562,0.13035059,0.070165023,0.60473305,22382,0.15255369,8.9054441,6.616065,6.0450053,5,0,0.30280605,0,0,0,16,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25595239,0,0,95,30.198191,0.094814137,0,1033,0,10.577656,49.523518,0.26239562,-0.0022405386,-0.006631501,-0.13845393,-0.0037043095,-771,0.013274562,0.13035059,0.070165023,0.60473305,22.382,0.15255369,5,"AL",0.80000001,0.57035124,0,1,0.30280605,0,0,0,0.016000001,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1758301,0,0,0,0,95,30.198191,49.523518,0.0534024815520666,0.0158715511672972,0.094814137,0,1.033,0,0,0,0,0,0.22789431,0.012283325,0.16875935,0.26239562,-0.0022405386,-0.006631501,-0.13845393,-0.0037043095,-0.94800001,10.577656,0,0,0,0,0,0,0,0
"9",1011,2000,393,0.72323853,0.16056874,0.10173062,0.49646351,14745,0.36518374,7.9280457,5.0039463,5.9738097,6,0,0.20052311,0,0,0,0,-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18018018,0,0,95,30.198191,0.10583576,0,4,0,9.3094616,0.74764609,0.059078522,-0.002391696,-0.049155708,-0.085733205,-0.031407058,-235,0.72323853,0.16056874,0.10173062,0.49646351,14.745,0.36518374,6,"AL",1,0.34458324,0,0,0.20052311,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022053329,0,1,0,0,95,30.198191,0.74764609,NA,NA,0.10583576,0,0.0040000002,0,0,0,0,0,0.16566706,0.11364603,-0.026491642,0.059078522,-0.002391696,-0.049155708,-0.085733205,-0.031407058,-0.032000002,9.3094616,0,0,0,0,0,0,0,0
"10",1013,2000,399,0.40188196,0.16809793,0.080658376,0.5299769,16054,0.31480968,8.6141386,6.2225761,5.9889612,7,0,0.30114913,0,0,0,1,-83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17352942,0,0,95,30.198191,0.094341815,0.2,-18,0,9.9938765,12.479663,-0.022777081,0.010006458,-0.013523214,-0.092965901,-0.0037911832,-64,0.40188196,0.16809793,0.080658376,0.5299769,16.054001,0.31480968,7,"AL",0.60000002,0.45593688,0,0,0.30114913,0,0,0,0.001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2873947,0,1,0,0,95,30.198191,12.479663,NA,NA,0.094341815,0.2,-0.017999999,0,0,0,0,0,0.16001558,-0.11961651,0.05715847,-0.022777081,0.010006458,-0.013523214,-0.092965901,-0.0037911832,-0.064999998,9.9938765,0,0,0,0,0,0,0,0
